step,wall_time,train_loss,relative_seconds,relative_time
3132000,1749902876.216579,1.0308527946472168,3387.180448770523,0:56:27.180449
3144000,1749902888.8921432,0.05679977685213089,3399.856013059616,0:56:39.856013
3156000,1749902901.470332,0.12564677000045776,3412.4342017173767,0:56:52.434202
3168000,1749902913.8447223,0.0248914435505867,3424.80859208107,0:57:04.808592
3180000,1749902926.4418645,0.957261323928833,3437.4057343006134,0:57:17.405734
3192000,1749902939.1687605,0.023385241627693176,3450.1326303482056,0:57:30.132630
3204000,1749902952.158714,0.5384932160377502,3463.1225838661194,0:57:43.122584
3216000,1749902964.8898563,0.3456425964832306,3475.8537261486053,0:57:55.853726
3228000,1749902977.5539618,1.3781520128250122,3488.5178315639496,0:58:08.517832
3240000,1749902990.1954794,0.012898212298750877,3501.1593492031097,0:58:21.159349
3252000,1749903002.893825,-0.0026703299954533577,3513.857694864273,0:58:33.857695
3264000,1749903015.5439384,0.43227648735046387,3526.5078082084656,0:58:46.507808
3276000,1749903028.2307167,0.027287283912301064,3539.1945865154266,0:58:59.194587
3288000,1749903041.0191486,0.16388873755931854,3551.983018398285,0:59:11.983018
3300000,1749903053.9051833,1.7537903785705566,3564.8690531253815,0:59:24.869053
